model,decision_type,threshold,accuracy,precision,recall,f1,tn,fp,fn,tp,prob_cutoff
mean_baseline,thresholded_regression,3.5,0.6454033771106942,0.6454033771106942,1.0,0.7844925883694412,0,189,0,344,
mean_baseline,thresholded_regression,4.5,0.4821763602251407,0.4821763602251407,1.0,0.6506329113924051,0,276,0,257,
mean_baseline,thresholded_regression,5.5,0.6697936210131332,0.0,0.0,0.0,357,0,176,0,
mean_baseline,thresholded_regression,6.5,0.7861163227016885,0.0,0.0,0.0,419,0,114,0,
linear_regression,thresholded_regression,3.5,0.7110694183864915,0.7120535714285714,0.9273255813953488,0.8055555555555556,60,129,25,319,
linear_regression,thresholded_regression,4.5,0.699812382739212,0.6422287390029325,0.8521400778210116,0.7324414715719063,154,122,38,219,
linear_regression,thresholded_regression,5.5,0.724202626641651,0.5868263473053892,0.5568181818181818,0.5714285714285714,288,69,78,98,
linear_regression,thresholded_regression,6.5,0.7954971857410882,0.5531914893617021,0.22807017543859648,0.32298136645962733,398,21,88,26,
xgboost,thresholded_regression,3.5,0.6923076923076923,0.7102803738317757,0.8837209302325582,0.7875647668393783,65,124,40,304,
xgboost,thresholded_regression,4.5,0.6923076923076923,0.6555183946488294,0.7626459143968871,0.7050359712230215,173,103,61,196,
xgboost,thresholded_regression,5.5,0.7373358348968105,0.6125,0.5568181818181818,0.5833333333333334,295,62,78,98,
xgboost,thresholded_regression,6.5,0.799249530956848,0.5492957746478874,0.34210526315789475,0.42162162162162165,387,32,75,39,
neural_network,thresholded_regression,3.5,0.7373358348968105,0.7405660377358491,0.9127906976744186,0.8177083333333334,79,110,30,314,
neural_network,thresholded_regression,4.5,0.7054409005628518,0.6677852348993288,0.77431906614786,0.7171171171171171,177,99,58,199,
neural_network,thresholded_regression,5.5,0.7429643527204502,0.6274509803921569,0.5454545454545454,0.5835866261398176,300,57,80,96,
neural_network,thresholded_regression,6.5,0.7823639774859287,0.484375,0.2719298245614035,0.34831460674157305,386,33,83,31,
bayesian_nn_mean,thresholded_regression,3.5,0.6754221388367729,0.6762886597938145,0.9534883720930233,0.7913148371531966,32,157,16,328,
bayesian_nn_mean,thresholded_regression,4.5,0.6454033771106942,0.6055900621118012,0.7587548638132295,0.6735751295336787,149,127,62,195,
bayesian_nn_mean,thresholded_regression,5.5,0.6979362101313321,0.5477707006369427,0.48863636363636365,0.5165165165165165,286,71,90,86,
bayesian_nn_mean,thresholded_regression,6.5,0.8067542213883677,0.6122448979591837,0.2631578947368421,0.36809815950920244,400,19,84,30,
bayesian_nn_probability,probability_cutoff,3.5,0.6735459662288931,0.67,0.9738372093023255,0.7938388625592417,24,165,9,335,0.5
bayesian_nn_probability,probability_cutoff,4.5,0.6303939962476548,0.5862068965517241,0.7937743190661478,0.6743801652892562,132,144,53,204,0.5
bayesian_nn_probability,probability_cutoff,5.5,0.701688555347092,0.5534591194968553,0.5,0.5253731343283582,286,71,88,88,0.5
bayesian_nn_probability,probability_cutoff,6.5,0.801125703564728,0.5645161290322581,0.30701754385964913,0.3977272727272727,392,27,79,35,0.5
