feature,mean_abs_shap
n_pitches,0.7020512
pct_two_strike,0.37010863
velo_p90,0.29463202
n_at_bats,0.25127995
spin_mean,0.1824118
plate_z_mean,0.11966885
pct_SI,0.10800316
velo_p10,0.10432813
pfx_x_mean,0.10281109
velo_mean,0.0921558
pct_CH,0.085113764
spin_std,0.08425332
pfx_z_mean,0.08040014
pct_ST,0.072728105
velo_std,0.07059289
velo_p50,0.06656091
zone_rate,0.06558308
plate_x_mean,0.06510227
pct_CU,0.0621284
pct_SL,0.062116116
pct_FF,0.059013084
pct_FS,0.043753013
pct_FC,0.04150746
pct_KC,0.028942836
pct_SV,0.008364967
pct_PO,0.0009872442
pct_KN,0.0006831983
pct_CS,0.00062484865
pct_FO,0.00023666084
pct_FA,3.357926e-05
pct_EP,0.0
pct_SC,0.0
